code,name,ward_code,latitude,longitude,source
MSA-0001-01,Bomu Primary School,0001,-4.02653,39.614248,iebc-2013
MSA-0001-02,Lilongwe Garden,0001,,,
MSA-0001-03,Mwijabu Primary School,0001,-4.0398,39.618888,iebc-2013
MSA-0002-01,Cape Town Ground,0002,,,
MSA-0002-02,Kaloleni Ground,0002,,,
MSA-0002-03,Kisumu Ndogo Ground,0002,,,
MSA-0002-04,Kwa Hola Primary School,0002,,,
MSA-0002-05,Umoja Primary School,0002,-4.03337,39.621208,iebc-2013
MSA-0003-01,Al-Irshadi Nursery School,0003,,,
MSA-0003-02,Baraka Village,0003,,,
MSA-0003-03,Bokole Nursery School,0003,,,
MSA-0003-04,Mwidani Social Hall,0003,-4.028654,39.604955,osm-nominatim
MSA-0003-05,Portreitz Nursery School,0003,,,
MSA-0004-01,Baptist Church Primary School,0004,,,
MSA-0004-02,Changamwe Primary School,0004,-4.0283,39.632158,iebc-2013
MSA-0004-03,Changamwe Sec Sch,0004,-4.0283,39.632158,iebc-2013
MSA-0004-04,Changamwe Social Hall,0004,,,
MSA-0004-05,Gome Primary School,0004,-4.02065,39.621578,iebc-2013
MSA-0004-06,Magongo Primary School,0004,-4.02357,39.624148,iebc-2013
MSA-0004-07,St. Lwanga Primary School,0004,-4.022892,39.626763,osm-nominatim
MSA-0005-01,Chaani Primary School,0005,-4.03876,39.622308,iebc-2013
MSA-0005-02,Chaani Social Hall,0005,-4.03221,39.626934,osm-nominatim
MSA-0005-03,Kipevu Primary School,0005,-4.03138,39.629478,iebc-2013
MSA-0005-04,Mikadini Primary School,0005,-4.03678,39.624378,iebc-2013
MSA-0006-01,Aldinnah Nursery School,0006,,,
MSA-0006-02,Jomvu Brightstar Sch Pri,0006,-3.99931,39.607438,iebc-2013
MSA-0006-03,Jomvu Narcol Nursery School,0006,-3.99931,39.607438,iebc-2013
MSA-0006-04,Mirironi Primary School,0006,,,
MSA-0006-05,Miritini World Bank Primary School,0006,-4.00253,39.581298,iebc-2013
MSA-0006-06,Nuru Community Based Rehabilitation School,0006,-4.00075,39.593148,iebc-2013
MSA-0006-07,Swaleh Khalid Social Hall,0006,,,
MSA-0006-08,Taratibu Social Hall,0006,,,
